txn_id,hour,amount,merchant,merchant_risk,country,is_foreign,account_number,is_suspicious
T00285,20,21.61,Apple,0.1,US,0,4248655476430824,0
T00286,15,136.91,Uber,0.2,US,0,4852699059335256,0
T00287,7,161.72,WireTransferCo,0.8,US,0,4092177674870834,0
T00288,16,73.07,WireTransferCo,0.8,RU,1,4227609667934623,1
T00289,5,56.82,Netflix,0.1,US,0,4765943491979243,0
T00290,2,1094.25,Uber,0.2,RU,1,4514306938061774,1
T00291,17,41.33,Netflix,0.1,US,0,4024510189855295,0
T00292,0,1783.77,CryptoX,0.9,UK,1,4609292924391891,1
T00293,15,1932.21,Amazon,0.1,US,0,4722292234340468,0
T00294,11,138.85,UnknownIntl,0.95,NG,1,4090354840391255,1
T00295,20,77.36,Shell,0.15,US,0,4604903163245784,0
T00296,23,192.85,CryptoX,0.9,US,0,4612993705872107,0
T00297,7,64.82,CryptoX,0.9,NG,1,4212211223034645,1
T00298,1,102.84,UnknownIntl,0.95,US,0,4075759813247978,1
T00299,14,21.77,Walmart,0.1,US,0,4275543835938088,0
T00300,12,10.68,UnknownIntl,0.95,US,0,4567335716908247,0
T00301,23,107.97,Apple,0.1,US,0,4757206052311136,0
T00302,9,204.63,SteamGames,0.3,US,0,4068630464199894,0
T00303,20,42.67,WireTransferCo,0.8,US,0,4755865467509897,0
T00304,22,50.5,CryptoX,0.9,IN,1,4271306527901578,1
T00305,22,97.12,Uber,0.2,UK,1,4633190096073021,0
T00306,17,21.55,CryptoX,0.9,NG,1,4953785319242403,1
T00307,17,68.85,SteamGames,0.3,US,0,4424653159523842,0
T00308,2,118.5,Shell,0.15,US,0,4235190173144104,0
T00309,0,174.04,SteamGames,0.3,UK,1,4539219203969476,0
T00310,12,145.48,Uber,0.2,US,0,4730395840433014,0
T00311,8,41.34,SteamGames,0.3,UK,1,4111022611106554,0
T00312,10,129.58,UnknownIntl,0.95,RU,1,4834573225519945,1
T00313,8,50.4,Starbucks,0.1,US,0,4470151687484365,0
T00314,6,51.79,Apple,0.1,US,0,4380064597416852,0
T00315,23,131.42,Apple,0.1,RU,1,4396514795160562,1
T00316,23,43.36,Starbucks,0.1,US,0,4066129427790391,0
T00317,2,68.97,WireTransferCo,0.8,US,0,4154800982493550,0
T00318,2,77.84,Shell,0.15,US,0,4718018106258212,0
T00319,21,72.16,Shell,0.15,RU,1,4463124397851431,0
T00320,16,67.08,Amazon,0.1,US,0,4758893653714024,0
T00321,3,6.8,CryptoX,0.9,US,0,4592738213557512,1
T00322,8,86.78,Apple,0.1,IN,1,4254295123301442,0
T00323,20,56.62,Apple,0.1,US,0,4105269784508884,0
T00324,12,1160.56,CryptoX,0.9,NG,1,4951758309734436,1
T00325,18,73.37,CryptoX,0.9,IN,1,4594654950132065,1
T00326,6,154.96,Amazon,0.1,US,0,4083708586865580,0
T00327,17,26.45,Shell,0.15,UK,1,4957498228187587,0
T00328,6,5.61,SteamGames,0.3,US,0,4336953399717100,0
T00329,18,27.88,Starbucks,0.1,US,0,4608622191228536,0
T00330,23,194.31,SteamGames,0.3,NG,1,4109981458173103,0
T00331,2,218.09,CryptoX,0.9,US,0,4367467839336937,0
T00332,14,23.83,Amazon,0.1,UK,1,4659636881488766,0
T00333,2,83.32,Shell,0.15,NG,1,4092363587409285,1
T00334,12,59.72,Apple,0.1,US,0,4103041018031068,0
T00335,14,2.6,Amazon,0.1,UK,1,4098286600714921,0
T00336,14,12.64,Starbucks,0.1,NG,1,4104782402509164,0
T00337,12,2003.13,Netflix,0.1,IN,1,4095364505378943,1
T00338,18,10.44,UnknownIntl,0.95,US,0,4555207280185025,0
T00339,5,67.94,Starbucks,0.1,US,0,4881204814845266,0
T00340,8,170.03,Walmart,0.1,IN,1,4120441439415199,0
T00341,0,47.09,Starbucks,0.1,UK,1,4970751961724000,0
T00342,10,21.3,SteamGames,0.3,RU,1,4361036241261479,0
T00343,15,127.19,Netflix,0.1,US,0,4359321124626511,0
T00344,18,90.63,Apple,0.1,RU,1,4128227816351896,0
T00345,18,27.79,Netflix,0.1,US,0,4619359055813489,0
T00346,22,106.9,Amazon,0.1,RU,1,4895830739951905,0
T00347,4,183.83,CryptoX,0.9,RU,1,4173549572465394,1
T00348,12,244.06,UnknownIntl,0.95,NG,1,4979123352556148,1
T00349,17,4051.75,UnknownIntl,0.95,NG,1,4604502955831748,1
T00350,3,90.44,Netflix,0.1,US,0,4634126341703456,0
T00351,10,7.22,Shell,0.15,NG,1,4111020654936660,0
T00352,16,78.48,Apple,0.1,US,0,4440377488592080,0
T00353,11,3.34,GiftCardHub,0.85,US,0,4468345977664051,0
T00354,23,112.65,Walmart,0.1,US,0,4392149768145360,0
T00355,14,120.32,GiftCardHub,0.85,US,0,4338065754314364,0
T00356,0,130.6,Amazon,0.1,US,0,4833717507516088,0
T00357,17,9.6,Uber,0.2,US,0,4520227735326317,0
T00358,20,114.36,Uber,0.2,NG,1,4994278976658614,0
T00359,18,158.65,Uber,0.2,RU,1,4231692933324972,0
T00360,18,177.63,Apple,0.1,US,0,4128301228230214,0
T00361,16,152.59,Apple,0.1,RU,1,4688270178376918,0
T00362,11,40.31,CryptoX,0.9,US,0,4334894923579312,0
T00363,21,133.22,Netflix,0.1,US,0,4131672123990613,0
T00364,22,117.54,Starbucks,0.1,IN,1,4209140954449163,0
T00365,17,126.17,GiftCardHub,0.85,US,0,4354185281646912,0
T00366,11,145.94,GiftCardHub,0.85,US,0,4569072693794771,0
T00367,13,59.41,Shell,0.15,RU,1,4499735937099311,0
T00368,2,18.06,GiftCardHub,0.85,US,0,4189383527779362,1
T00369,17,37.27,GiftCardHub,0.85,RU,1,4872699850415625,1
T00370,17,87.71,WireTransferCo,0.8,IN,1,4478682651160891,1
T00371,9,64.3,Walmart,0.1,US,0,4392462355389386,0
T00372,3,87.08,Walmart,0.1,RU,1,4687094740809898,0
T00373,5,36.45,Shell,0.15,NG,1,4232996879957580,0
T00374,17,65.51,Amazon,0.1,IN,1,4644843337530948,0
T00375,4,153.22,Apple,0.1,US,0,4066752032828730,0
T00376,22,110.31,Apple,0.1,US,0,4949762273570507,0
T00377,15,46.09,Shell,0.15,NG,1,4466376015238997,0
T00378,2,2307.17,CryptoX,0.9,RU,1,4782166279179387,1
T00379,15,11.99,SteamGames,0.3,RU,1,4953825367014122,0
T00380,23,163.87,UnknownIntl,0.95,US,0,4245252930712855,0
T00381,15,65.17,CryptoX,0.9,US,0,4616217588473654,0
T00382,18,143.44,Netflix,0.1,US,0,4112107433683570,0
T00383,0,4.58,Shell,0.15,RU,1,4481663222125034,0
T00384,20,40.87,Uber,0.2,US,0,4281914611433037,0
T00385,21,195.79,Walmart,0.1,IN,1,4704367748883472,0
T00386,13,2196.46,Apple,0.1,US,0,4584842373211377,1
T00387,0,1704.95,Shell,0.15,RU,1,4475486639571680,1
T00388,15,133.23,UnknownIntl,0.95,US,0,4413838624673131,0
T00389,12,105.39,Apple,0.1,US,0,4722349646536448,0
T00390,2,72.32,Shell,0.15,US,0,4239881321270844,0
T00391,13,78.51,Shell,0.15,US,0,4097599769893113,0
T00392,3,30.04,Walmart,0.1,US,0,4278980201277763,0
T00393,7,48.48,Apple,0.1,US,0,4320793716930734,0
T00394,21,108.92,UnknownIntl,0.95,US,0,4332749978848111,0
T00395,7,51.38,Shell,0.15,US,0,4718417030325294,0
T00396,16,87.16,Netflix,0.1,US,0,4969191096571089,0
T00397,11,73.98,Netflix,0.1,NG,1,4867360001231131,0
T00398,18,834.28,Walmart,0.1,US,0,4322558514772864,0
T00399,13,99.26,Shell,0.15,NG,1,4605347880128478,0
T00400,8,101.06,Netflix,0.1,US,0,4603920313797553,0
T00401,18,92.21,SteamGames,0.3,NG,1,4724130116250194,0
T00402,22,57.28,Walmart,0.1,UK,1,4489187861358476,0
T00403,19,136.88,Walmart,0.1,RU,1,4740902223978554,0
T00404,3,2349.94,UnknownIntl,0.95,US,0,4588850095303382,1
T00405,5,82.59,WireTransferCo,0.8,UK,1,4302601377354782,1
T00406,0,47.65,UnknownIntl,0.95,US,0,4086773919514086,0
T00407,16,134.7,GiftCardHub,0.85,RU,1,4187890074088203,1
T00408,8,98.58,SteamGames,0.3,US,0,4572887394402658,0
T00409,0,45.83,Amazon,0.1,US,0,4201490445365994,0
T00410,7,52.86,Amazon,0.1,NG,1,4643489514678306,0
T00411,16,136.03,SteamGames,0.3,US,0,4905603402868708,0
T00412,12,140.92,WireTransferCo,0.8,US,0,4097260940164697,0
T00413,0,108.17,WireTransferCo,0.8,RU,1,4342174823970583,1
T00414,14,28.48,UnknownIntl,0.95,US,0,4856225552748152,0
T00415,0,198.06,Uber,0.2,US,0,4390036896003273,0
T00416,10,167.81,Shell,0.15,US,0,4231026737309482,0
T00417,13,80.81,WireTransferCo,0.8,US,0,4160301051328792,0
T00418,2,121.89,UnknownIntl,0.95,UK,1,4419390223063175,1
